seed,method,precision,recall,f1,boundary_precision,boundary_recall,boundary_f1,workflows,nodes,edges,avg_nodes,avg_edges,silhouette
11,B1_raw_no_seg,0.17725159200702678,0.21586000941508765,0.1129875609204981,1.0,0.16436554898093358,0.282326369282891,8,128,80,16.0,10.0,0.04150509377296608
11,B2_semantic_no_seg,0.08921028590146236,0.20081716954022988,0.08037929665855242,1.0,0.16436554898093358,0.282326369282891,8,177,177,22.125,22.125,0.07835046396887894
11,B3_semantic_heuristic_seg,0.6533712561700877,0.6145551311217863,0.6023000245659547,0.6490789174437116,0.938198553583169,0.7673074337948649,8,26,17,3.25,2.125,0.4174507892172332
11,UpperBound_semantic_oracle_seg,1.0,1.0,1.0,1.0,1.0,1.0,8,34,26,4.25,3.25,0.451095654155196
22,B1_raw_no_seg,0.1557353976073188,0.12232577394335002,0.07576509692613424,1.0,0.16784155756965424,0.2874389192296637,8,131,86,16.375,10.75,0.03559836335360496
22,B2_semantic_no_seg,0.18750358814976584,0.13463073144332913,0.10983781173979514,1.0,0.16784155756965424,0.2874389192296637,8,197,189,24.625,23.625,0.0493382854091529
22,B3_semantic_heuristic_seg,0.45614303178484106,0.302703272417856,0.3576361663345523,0.6510113926993722,0.9399127223900637,0.7692307692307693,8,18,11,2.25,1.375,0.42831485710242095
22,UpperBound_semantic_oracle_seg,1.0,1.0,1.0,1.0,1.0,1.0,8,34,26,4.25,3.25,0.45319878384784146
33,B1_raw_no_seg,0.1320574549853421,0.10848353430368034,0.05284953597922237,1.0,0.16490765171503957,0.28312570781426954,8,134,85,16.75,10.625,0.043126309362227826
33,B2_semantic_no_seg,0.16391876220442897,0.1642253576464432,0.06486861226585276,1.0,0.16490765171503957,0.28312570781426954,8,192,187,24.0,23.375,0.07873422301115585
33,B3_semantic_heuristic_seg,0.6689053245733347,0.6165258913228078,0.6047183458875874,0.6439670932358318,0.929419525065963,0.7607991360691144,8,21,13,2.625,1.625,0.4181377552882067
33,UpperBound_semantic_oracle_seg,1.0,1.0,1.0,1.0,1.0,1.0,8,34,26,4.25,3.25,0.4487795236730247
44,B1_raw_no_seg,0.16974931856093828,0.12879226172862263,0.07839480460330103,1.0,0.16931933626820184,0.2896032435563278,8,124,79,15.5,9.875,0.04669118600347044
44,B2_semantic_no_seg,0.17135934648858828,0.1406679772582844,0.10086858884719299,1.0,0.16931933626820184,0.2896032435563278,8,203,195,25.375,24.375,0.07428793178774398
44,B3_semantic_heuristic_seg,0.5886284013605443,0.5605809733821592,0.5061092339753449,0.6444755898154637,0.9343040975279376,0.7627868399225878,8,18,11,2.25,1.375,0.43213582368227027
44,UpperBound_semantic_oracle_seg,1.0,1.0,1.0,1.0,1.0,1.0,8,34,26,4.25,3.25,0.4567374685462467
55,B1_raw_no_seg,0.14266881496491424,0.1664975191922695,0.06775985272590382,1.0,0.16700066800267202,0.28620492272467085,8,120,79,15.0,9.875,0.044268636387850675
55,B2_semantic_no_seg,0.16791381771581054,0.25816474415561896,0.0809255113693808,1.0,0.16700066800267202,0.28620492272467085,8,190,182,23.75,22.75,0.07033866872607074
55,B3_semantic_heuristic_seg,0.5376517450682853,0.4213475097775483,0.4236864444006846,0.6527553608485128,0.945557782231129,0.7723366525712727,8,18,11,2.25,1.375,0.4423998707136872
55,UpperBound_semantic_oracle_seg,1.0,1.0,1.0,1.0,1.0,1.0,8,34,26,4.25,3.25,0.456470052366415
